specObjID,plate,mjd,fiberid,redshift
8596248104856213504,7635,56979,8,1.867679
8596249204367841280,7635,56979,12,1.064881
8596251678269003776,7635,56979,21,1.502078
8596252502902724608,7635,56979,24,1.637638
8596255801437607936,7635,56979,36,1.343358
8596259649728305152,7635,56979,50,1.117227
2028880768280848384,1802,53885,33,1.637825
2028888189984335872,1802,53885,60,1.647597
6879263379560880128,6110,56279,54,1.306742
7559294831484491776,6714,56447,10,1.292085
7559300603920537600,6714,56447,31,1.993181
7559301428554258432,6714,56447,34,1.893402
7559308575379838976,6714,56447,60,1.325643
10332492706581075968,9177,58044,397,1.830319
10332492981458982912,9177,58044,398,1.553399
10332497379505494016,9177,58044,414,1.699388
8604322104891168768,7642,57651,709,1.821487
8604322379769075712,7642,57651,710,1.487726
8604325678303959040,7642,57651,722,1.03992
8604326228059772928,7642,57651,724,1.302171
8604327327571400704,7642,57651,728,1.867867
8604327877327214592,7642,57651,730,1.092129
8604328427083028480,7642,57651,732,1.050631
8604329251716749312,7642,57651,735,1.414742
2387019192684537856,2120,53852,405,1.727005
2387032111946164224,2120,53852,452,1.625014
8606524696123693056,7644,57327,530,1.420977
8606524971001600000,7644,57327,531,1.300294
8606531293193459712,7644,57327,554,1.218884
8606536790751598592,7644,57327,574,1.730492
8606546686356248576,7644,57327,610,1.408596
8606549984891131904,7644,57327,622,1.181067
8606554382937643008,7644,57327,638,1.791409
8606557131716712448,7644,57327,648,1.525666
12429942260237621248,11040,58456,26,1.996293
9978871070021933056,8863,57724,73,1.401218
9978873269045188608,8863,57724,81,1.290298
9978873818801002496,8863,57724,83,1.291959
9978882889771931648,8863,57724,116,1.789863
9978884539039373312,8863,57724,122,1.245676
9978884813917280256,8863,57724,123,1.339493
654225675850377216,581,52356,283,1.489112
654233922187585536,581,52356,313,1.256989
2040260712118380544,1812,53795,473,1.0533
2040260986996287488,1812,53795,474,1.890221
2040262361385822208,1812,53795,479,1.354693
2040265659920705536,1812,53795,491,1.718289
2040266209676519424,1812,53795,493,1.881494
2040268683577681920,1812,53795,502,1.631343
2040287375275354112,1812,53795,570,1.714865
308525743627855872,274,51913,106,1.969103
9986733953472813056,8870,57779,6,1.44803
9986735877618161664,8870,57779,13,1.634485
9986738076641417216,8870,57779,21,1.204896
9986742474687928320,8870,57779,37,1.777223
9986746872734439424,8870,57779,53,1.653422
9986747147612346368,8870,57779,54,1.406252
8606461474205095936,7644,57327,300,1.751654
8606471369809745920,7644,57327,336,1.578811
8606476042734163968,7644,57327,353,1.901833
